transfers	n_species	community_id	strep_conc	replicate	OD
5	2	P14	16	1	0.307
7	2	P14	16	1	0.287
8	2	P14	16	1	0.284
1	2	P14	16	2	0.604
3	2	P14	16	2	0.304
5	2	P14	16	2	0.314
7	2	P14	16	2	0.325
8	2	P14	16	2	0.305
1	2	P14	64	1	0.905
3	2	P14	64	1	0.267
5	2	P14	64	1	0.3
7	2	P14	64	1	0.284
8	2	P14	64	1	0.247
1	2	P14	64	2	0.86
3	2	P14	64	2	0.27
5	2	P14	64	2	0.285
7	2	P14	64	2	0.284
8	2	P14	64	2	0.265
1	2	P14	256	1	0.796
3	2	P14	256	1	0.263
5	2	P14	256	1	0.282
7	2	P14	256	1	0.293
8	2	P14	256	1	0.286
1	2	P14	256	2	0.768
3	2	P14	256	2	0.254
5	2	P14	256	2	0.306
7	2	P14	256	2	0.299
8	2	P14	256	2	0.283
1	2	P15	0	1	0.978
3	2	P15	0	1	0.313
5	2	P15	0	1	0.338
7	2	P15	0	1	0.345
8	2	P15	0	1	0.34
1	2	P15	0	2	0.976
3	2	P15	0	2	0.304
5	2	P15	0	2	0.343
7	2	P15	0	2	0.339
8	2	P15	0	2	0.319
1	2	P15	16	1	0.772
3	2	P15	16	1	0.28
5	2	P15	16	1	0.306
7	2	P15	16	1	0.288
8	2	P15	16	1	0.279
1	2	P15	16	2	0.89
3	2	P15	16	2	0.292
5	2	P15	16	2	0.323
7	2	P15	16	2	0.306
8	2	P15	16	2	0.293
1	2	P15	64	1	0.637
3	2	P15	64	1	0.275
5	2	P15	64	1	0.283
7	2	P15	64	1	0.275
8	2	P15	64	1	0.267
1	2	P15	64	2	0.801
3	2	P15	64	2	0.272
5	2	P15	64	2	0.273
7	2	P15	64	2	0.286
8	2	P15	64	2	0.264
1	2	P15	256	1	0.76
3	2	P15	256	1	0.211
5	2	P15	256	1	0.235
7	2	P15	256	1	0.261
8	2	P15	256	1	0.254
1	2	P15	256	2	1.018
3	2	P15	256	2	0.244
5	2	P15	256	2	0.244
7	2	P15	256	2	0.255
8	2	P15	256	2	0.262
1	2	P16	0	1	0.677
3	2	P16	0	1	0.305
5	2	P16	0	1	0.339
7	2	P16	0	1	0.335
8	2	P16	0	1	0.315
1	2	P16	0	2	0.977
3	2	P16	0	2	0.291
5	2	P16	0	2	0.318
7	2	P16	0	2	0.324
8	2	P16	0	2	0.309
1	2	P16	16	1	0.873
3	2	P16	16	1	0.276
5	2	P16	16	1	0.295
7	2	P16	16	1	0.281
8	2	P16	16	1	0.283
1	2	P16	16	2	0.831
3	2	P16	16	2	0.307
5	2	P16	16	2	0.334
7	2	P16	16	2	0.327
8	2	P16	16	2	0.311
1	2	P16	64	1	0.891
3	2	P16	64	1	0.265
5	2	P16	64	1	0.287
7	2	P16	64	1	0.279
8	2	P16	64	1	0.261
1	2	P16	64	2	0.891
3	2	P16	64	2	0.264
5	2	P16	64	2	0.278
7	2	P16	64	2	0.284
8	2	P16	64	2	0.262
1	2	P16	256	1	0.681
3	2	P16	256	1	0.205
5	2	P16	256	1	0.254
7	2	P16	256	1	0.288
8	2	P16	256	1	0.291
1	2	P16	256	2	0.814
